Unnamed: 0,Unnamed: 1,Oyster canned,"Beef, 97%","Beef, 90%",Beef 80%,"sardine with bones, canned",salmon raw pink ,"Talipia, fish",turkey breast only,duck breast only,beef heart,whitefish raw,deer ground meat,quial meat with skin ,quial meat only,"egg white, raw","Beef tongue, raw","pork loin, lean bonless",pork shoulder lean,"pork loin, bonless",beef liver,chikcen liver,"chicken breast, meat only",Chicken thigh with skin ,"Chicken heart, raw","Chicken Gizzards, raw  ",beef kidney ,Beef Heart,ground lamb meat,Lamb liver,Lamb kidney,Lamb heart,"Ostrich, ground",Rabbit meat,Trout,"Shrimp, raw"
Energy,kcal,456.3758389261743,480.1587301587301,575.1633986928106,666.6666666666666,514.8514851485148,518.3673469387755,438.3561643835615,454.18326693227107,502.0408163265306,489.0829694323143,492.64705882352933,545.1388888888889,631.5789473684209,446.6666666666667,419.3548387096772,630.9859154929577,494.3820224719101,540.1459854014598,555.1839464882942,462.3287671232876,506.3829787234043,459.7701149425288,659.7014925373135,579.5454545454544,454.10628019323667,447.96380090497746,489.0829694323143,696.2962962962963,465.75342465753425,442.1052631578948,523.6051502145924,570.9342560553632,447.05882352941177,538.1679389312976,417.64705882352945
Protein,g,47.38255033557045,87.30158730158729,65.35947712418302,45.14435695538057,60.891089108910904,83.6734693877551,91.7808219178082,94.42231075697212,80.81632653061224,77.29257641921396,70.22058823529412,75.69444444444446,64.4736842105263,72.66666666666667,87.90322580645157,41.971830985915496,83.8951310861423,71.53284671532846,71.23745819397992,69.86301369863013,71.91489361702126,86.20689655172416,49.25373134328358,59.09090909090907,85.50724637681158,78.73303167420815,77.29257641921396,40.98765432098766,70.8904109589041,80,70.81545064377683,69.89619377162629,85.49019607843138,75.95419847328243,80
Total lipid (fat),g,16.577181208053688,11.904761904761903,32.67973856209151,52.493438320209975,28.21782178217822,17.95918367346939,7.762557077625569,5.896414342629484,17.346938775510203,17.205240174672483,21.544117647058822,24.756944444444446,39.47368421052631,15.1,1.3709677419354833,45.35211267605634,15.205992509363291,26.058394160583937,27.859531772575245,12.431506849315067,20.5531914893617,10.038314176245214,49.552238805970156,35.340909090909086,9.951690821256037,13.981900452488691,17.205240174672483,57.77777777777777,16.849315068493148,13.368421052631579,24.37768240343348,30.103806228373692,9.098039215686274,23.587786259541982,5.9411764705882355
Ash,g,9.530201342281876,4.246031746031745,3.202614379084968,2.204724409448819,8.366336633663368,6.204081632653061,4.246575342465753,4.143426294820718,5.428571428571429,4.803493449781659,4.117647058823529,3.055555555555556,2.960526315789473,4.4,5.08064516129032,2.2535211267605635,3.782771535580524,3.7226277372262766,3.2441471571906346,4.486301369863013,4.510638297872341,4.329501915708813,2.4179104477611943,3.219696969696969,4.589371980676328,6.018099547511315,4.803493449781659,2.148148148148148,4.657534246575342,6.263157894736842,3.9914163090128763,2.5259515570934252,4.392156862745098,4.6183206106870225,10.941176470588236
CHO ,g,26.241610738255023,0,0,0,0,0,0,0.557768924302789,0,0.6113537117903929,0,0,0,0,5.887096774193545,10.366197183098592,0,0,0,13.321917808219178,3.1063829787234045,0,0.7462686567164178,2.6893939393939386,0,1.312217194570136,0.6113537117903929,0,7.602739726027396,0.15789473684210525,0.9012875536480688,0,0,0,5.352941176470588
"Fiber, total dietary",g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calcium, Ca",mg,302.01342281879187,31.746031746031743,39.21568627450981,47.24409448818898,945.5445544554456,28.57142857142857,45.66210045662099,43.824701195219134,12.244897959183673,30.567685589519645,95.58823529411764,38.19444444444445,42.763157894736835,43.333333333333336,56.45161290322578,16.901408450704224,18.726591760299623,51.0948905109489,23.41137123745819,17.123287671232877,34.04255319148936,19.157088122605366,20.8955223880597,45.454545454545446,53.14009661835748,58.82352941176472,30.567685589519645,39.50617283950617,13.698630136986301,42.10526315789473,25.751072961373396,24.221453287197228,47.05882352941176,95.41984732824427,317.6470588235294
"Iron, Fe",mg,44.96644295302012,9.682539682539682,7.320261437908498,5.091863517060367,7.227722772277227,1.5510204081632653,2.5570776255707757,2.908366533864543,18.408163265306122,18.82096069868995,1.3602941176470587,10.13888888888889,13.059210526315788,15.033333333333331,0.6451612903225804,8.309859154929578,2.0224719101123596,4.452554744525546,1.77257525083612,16.78082191780822,38.255319148936174,1.4176245210727971,2.029850746268657,22.57575757575757,12.028985507246375,20.814479638009054,18.82096069868995,3.8271604938271606,15.753424657534243,34.73684210526316,19.74248927038627,10.069204152249133,12.549019607843137,1.1832061068702289,1.2352941176470587
"Magnesium, Mg",mg,362.4161073825502,87.30158730158729,65.35947712418302,44.61942257217847,96.53465346534654,110.20408163265304,123.28767123287668,111.5537848605578,89.79591836734694,91.70305676855894,121.3235294117647,72.91666666666667,75.6578947368421,83.33333333333334,88.70967741935479,45.07042253521127,97.37827715355805,76.64233576642334,80.26755852842807,61.643835616438345,80.85106382978722,107.27969348659005,53.73134328358209,56.8181818181818,72.46376811594202,76.92307692307693,91.70305676855894,51.85185185185185,61.643835616438345,84.21052631578947,72.96137339055795,69.20415224913494,113.72549019607843,95.41984732824427,129.41176470588235
"Phosphorus, P",mg,932.8859060402682,805.5555555555555,601.3071895424838,414.69816272965875,1212.871287128713,1065.3061224489797,776.2557077625569,800.7968127490042,759.1836734693878,925.7641921397377,992.6470588235294,697.9166666666667,904.6052631578946,1023.3333333333333,120.96774193548382,374.6478873239437,842.696629213483,737.2262773722626,722.4080267558527,1325.3424657534244,1263.8297872340424,816.0919540229887,468.65671641791045,670.4545454545453,714.9758454106279,1162.8959276018102,925.7641921397377,387.65432098765433,1304.794520547945,1289.4736842105265,751.0729613733906,688.5813148788926,886.2745098039217,862.5954198473282,1435.2941176470588
